Method:,Column 1,Built-In Reference,,,Model Name,NIR-M-R1
Host Date-Time:,5/11/20 @ 14:45:24,5/12/16 @ 9:29:23,,,GUI Version,2.1.0.50
Header Version:,1,1,,,Tiva Version,2.1.0.67
System Temp (C):,37.19,23.93,,,DLPC Version,2.0.0
Detector Temp (C),0,22.13,,,UUID,D6:65:30:66:A2:17:21:28
Humidity (%):,33.68,82.7,,,Main Board Version,B
Lamp PD:,1537,1725
Shift Vector Coefficients:,-5.25325212421393,0.0425285735769367,-8.60000960807872E-05
Pixel to Wavelength Coefficients:,1758.93794361149,-0.907485523783061,-0.000255557021500057
Serial Number:,6170019,6170019
Scan Config Name:,Column 1,SystemTest
Scan Config Type:,Column,Column
Start wavelength (nm):,900,900
End wavelength (nm):,1700,1700
Pattern Pixel Width (nm):,7.03,7.03
Exposure (ms):,0.635,0.635
Digital Resolution:,228,228
Total Digital Resolution:,228,228
Num Repeats:,6,30
PGA Gain:,64,64
Total Measurement Time in sec:,2.9951713
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.490863298331,0.625488619907004,86448,20477
905.400126677527,0.630349279282642,95033,22260
909.304790030335,0.62496072075147,103281,24494
913.204853356757,0.636806577092501,111926,25830
917.100316656791,0.638234484888896,122272,28125
922.287112126902,0.638904593369477,139085,31943
926.171842032033,0.636626530003153,153933,35539
930.051971910778,0.640230164980597,169851,38890
933.927501763135,0.639702780785537,185497,42524
937.798431589105,0.63409201734119,201077,46695
941.664761388689,0.628812150303297,215600,50680
945.526491161885,0.627072603919507,229530,54171
950.668308596212,0.623257026949374,246998,58808
954.519304974505,0.62101829360799,260219,62276
958.365701326412,0.620723691269136,273509,65501
962.207497651931,0.619788253543955,286808,68834
966.044693951064,0.620834956615017,300214,71878
969.877290223809,0.619515433225337,313715,75339
973.705286470167,0.620223239915002,326856,78367
978.80212586871,0.618923169002258,343261,82547
982.619388720165,0.619030994772778,354456,85218
986.432051545234,0.617545293745445,364765,87997
990.240114343915,0.616334438767497,373757,90418
994.04357711621,0.615660477426603,381564,92450
997.842439862117,0.614889062511139,387763,94119
1001.63670258164,0.612402342876753,392898,95913
1006.6885639444,0.610490608572975,397347,97427
1010.47209326901,0.609254495045046,400134,98390
1014.25102256724,0.606703232854499,401429,99290
1018.02535183909,0.604323072522909,401933,99961
1021.79508108454,0.605113837848165,402593,99943
1025.56021030361,0.60098912974544,402626,100905
1029.3207394963,0.601554864653665,402140,100652
1033.07666866259,0.599646735236351,401996,101059
1038.07741862105,0.59866293367034,401646,101200
1041.82261439244,0.596358059543014,401415,101680
1045.56321013745,0.595176145841177,400828,101808
1049.29920585607,0.594938531990623,400715,101835
1053.0306015483,0.595654512166584,400647,101650
1056.75739721414,0.592858531487054,400641,102305
1060.4795928536,0.592040216787523,400864,102555
1065.43536477627,0.590008969127562,400468,102934
1069.14682702083,0.588417071395726,400782,103393
1072.853689239,0.587689602914013,401307,103702
1076.55595143078,0.587888428654939,402358,103926
1080.25361359617,0.584217571096962,403774,105177
1083.94667573518,0.585209273579052,404547,105138
1087.6351378478,0.583897529570129,405878,105803
1092.54593173469,0.583003648938943,407038,106324
1096.2236604524,0.580809703491518,408914,107355
1099.89678914373,0.580661236323905,410541,107819
1103.56531780867,0.579482257737521,412333,108584
1107.22924644723,0.574954584827828,413889,110136
1110.8885750594,0.576623665082693,415362,110104
1114.54330364518,0.575304419531881,417457,110996
1119.40911949629,0.57414130763048,419390,111809
1123.05311468716,0.574261955645747,421345,112299
1126.69250985166,0.57272366458945,422663,113050
1130.32730498976,0.573848155912092,423860,113077
1133.95750010148,0.575782519470623,424920,112856
1137.58309518681,0.57839638199189,426095,112489
1141.20409024575,0.58085461401056,427028,112099
1146.02492806107,0.585507587123141,428686,111335
1149.63518972511,0.589494986037742,430052,110669
1153.24085136277,0.592810419292396,431750,110261
1156.84191297403,0.595951328577924,433389,109882
1160.43837455891,0.599154668028862,435179,109525
1164.03023611741,0.602776048411923,437653,109233
1167.61749764951,0.604559147910455,440572,109511
1172.39335742905,0.608701623339075,444303,109390
1175.96988556625,0.611148404394402,447140,109470
1179.54181367707,0.612008184370465,450760,110138
1183.1091417615,0.614805029800735,454286,110287
1186.67186981954,0.616805723736762,458432,110782
1190.22999785119,0.617669734090006,462774,111609
1193.78352585646,0.618389802483974,467961,112673
1198.51440760021,0.618504497200664,474985,114334
1202.05720221058,0.617082030205054,480438,116026
1205.59539679455,0.616669968633383,486833,117682
1209.12899135215,0.615031635459501,493498,119744
1212.65798588335,0.613538475212997,500039,121749
1216.18238038816,0.610783726211501,506619,124136
1219.70217486659,0.608774031532904,513599,126430
1223.21736931864,0.605651532219309,521144,129213
1227.89713965809,0.602560087836129,530911,132575
1231.40160071523,0.600625776092495,538112,134973
1234.90146174598,0.599255065655915,545414,137237
1238.39672275035,0.596283752170967,552538,139984
1241.88738372833,0.593455495691643,559316,142627
1245.37344467992,0.592536777108203,566391,144737
1248.85490560512,0.590912048063403,574085,147253
1253.48969790879,0.589710733226231,584606,150367
1256.96042543909,0.588398133095,592222,152787
1260.42655294301,0.587193395608093,600214,155279
